+---------------+------+--------+--------+-----------+
|   series id   | year | period | value  | footnotes |
+---------------+------+--------+--------+-----------+
| CES0000000001 | 2014 |  M12   | 140377 |           |
| CES0000000001 | 2014 |  M11   | 140109 |           |
| CES0000000001 | 2014 |  M10   | 139818 |           |
| CES0000000001 | 2014 |  M09   | 139566 |           |
| CES0000000001 | 2014 |  M08   | 139257 |           |
| CES0000000001 | 2014 |  M07   | 139069 |           |
| CES0000000001 | 2014 |  M06   | 138837 |           |
| CES0000000001 | 2014 |  M05   | 138511 |           |
| CES0000000001 | 2014 |  M04   | 138293 |           |
| CES0000000001 | 2014 |  M03   | 137968 |           |
| CES0000000001 | 2014 |  M02   | 137714 |           |
| CES0000000001 | 2014 |  M01   | 137548 |           |
| CES0000000001 | 2013 |  M12   | 137373 |           |
| CES0000000001 | 2013 |  M11   | 137304 |           |
| CES0000000001 | 2013 |  M10   | 137040 |           |
| CES0000000001 | 2013 |  M09   | 136815 |           |
| CES0000000001 | 2013 |  M08   | 136628 |           |
| CES0000000001 | 2013 |  M07   | 136386 |           |
| CES0000000001 | 2013 |  M06   | 136274 |           |
| CES0000000001 | 2013 |  M05   | 136093 |           |
| CES0000000001 | 2013 |  M04   | 135871 |           |
| CES0000000001 | 2013 |  M03   | 135680 |           |
| CES0000000001 | 2013 |  M02   | 135541 |           |
| CES0000000001 | 2013 |  M01   | 135263 |           |
| CES0000000001 | 2012 |  M12   | 135072 |           |
| CES0000000001 | 2012 |  M11   | 134833 |           |
| CES0000000001 | 2012 |  M10   | 134677 |           |
| CES0000000001 | 2012 |  M09   | 134518 |           |
| CES0000000001 | 2012 |  M08   | 134331 |           |
| CES0000000001 | 2012 |  M07   | 134159 |           |
| CES0000000001 | 2012 |  M06   | 134007 |           |
| CES0000000001 | 2012 |  M05   | 133934 |           |
| CES0000000001 | 2012 |  M04   | 133834 |           |
| CES0000000001 | 2012 |  M03   | 133752 |           |
| CES0000000001 | 2012 |  M02   | 133512 |           |
| CES0000000001 | 2012 |  M01   | 133250 |           |
| CES0000000001 | 2011 |  M12   | 132896 |           |
| CES0000000001 | 2011 |  M11   | 132694 |           |
| CES0000000001 | 2011 |  M10   | 132562 |           |
| CES0000000001 | 2011 |  M09   | 132358 |           |
| CES0000000001 | 2011 |  M08   | 132125 |           |
| CES0000000001 | 2011 |  M07   | 131999 |           |
| CES0000000001 | 2011 |  M06   | 131939 |           |
| CES0000000001 | 2011 |  M05   | 131703 |           |
| CES0000000001 | 2011 |  M04   | 131602 |           |
| CES0000000001 | 2011 |  M03   | 131288 |           |
| CES0000000001 | 2011 |  M02   | 131053 |           |
| CES0000000001 | 2011 |  M01   | 130841 |           |
+---------------+------+--------+--------+-----------+
